Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Technique
Long Live the Royals,1,4,United States,2015,2015,Cartoon Network,Traditional
Loonatics Unleashed,,26,United States,2005,2007,Kids' WB,Traditional
Looney Tunes Cartoons,5,62,United States,2020,Present,HBO Max,Traditional/Flash
Loopdidoo,,250,France,2006,2016,France 5,CGI
Looped,,26,Canada,2016,2016,Teletoon,Flash
Los Trotamúsicos,1,26,Spain,1989,1989,TVE1,Traditional
Lost In Oz,2,26,United States,2017,2018,"Amazon Prime Video, Discovery Kids (Latin America)",CGI
Louie,,117,France,2006,2009,France 5,Flash
Love Death + Robots,2,26,United States,2019,2021,Netflix,"CGI, Traditional, Flash, Stop-motion"
Love Monster!,1,54,Britain,2020,Present,"Cbeebies, Cartoonito",Flash
Lucas Bros. Moving Co.,2,17,United States,2013,2015,"Fox, FXX",Flash
Lucas the Spider,1,59,United States,2021,Present,Cartoonito,CGI
Lucky Fred,,104,Spain,2011,2014,Disney Channel,Flash
"Lucy, the Daughter of the Devil",,11,United States,2007,2007,Adult Swim,CGI
Lulu Vroumette,2,,France,2012,2013,,CGI
Lulu's Islands,,52,France,2009,Present,TF1,Flash
Luna Petunia,,26,"Canada, United States",2016,2018,Netflix,CGI
"Luna, Chip & Inkie: Adventure Rangers Go",1,10,Canada,2022,Present,Knowledge Kids,Flash
Lunar Jim,,92,Canada,2006,2012,CBC Television,Stop motion
Luntik,,540,Russian,2006,Present,,Flash (season 1–2)/CGI (season 3-)
Lupin's Tales,TBA,TBA,China,2021,2021,Youku,Traditional/CGI
Lupo Alberto,2,104,Italy,1997,2002,"Rai 1, Rai 2, Rai 3, Rai Gulp",Traditional
M.K. 22,,10,Israeli,2004,2004,Bip,CGI
M.O.D.O.K.,1,10,United States,2021,Present,Hulu,Stop-Motion
Mack & Moxy,,12,United States,2016,2016,PBS Kids,CGI
Mad,4,103,United States,2010,2013,Cartoon Network,"Traditional, Flash, Stop motion, CGI, Live-action"
Mad Jack the Pirate,1,13,US,1998,1999,Fox Kids,Traditional
Madagascar: A Little Wild,8,50,United States,2020,2022,"Hulu, Peacock",CGI
Madeline,3,59,US,1993,2001,"HBO (Pilot), The Family Channel, Disney Channel",Traditional
Mademoiselle Zazie,1,78,France,2013,2013,France 5,CGI
Maggie and the Ferocious Beast,3,39,Canada,2000,2002,Teletoon,Traditional
Magi-Nation,2,52,"Canada, South Korea",2007,2010,Kids' WB,Traditional
Magic Adventures of Mumfie,3,79,UK,1994,1998,CITV,Traditional
Magic: The Gathering,TBA,TBA,United States,2022,2022,Netflix,Traditional
Magical Girl Friendship Squad,1,6,United States,2020,Present,Syfy,Flash
Magical Girl Friendship Squad: Origins,1,6,United States,2020,Present,Syfy,Flash
Maisy,1,26,UK,1999,2001,"CITV, Nick Jr.",Traditional
Major Lazer,,11,United States,2014,2015,FXX,Flash
Major Lazer,1,11,United States,2015,2015,FXX,Traditional
Make Way for Noddy,2,100,"Britain, United States",2002,2007,PBS Kids,CGI
Making Fiends,,6,United States,2008,2008,Nicktoons Network,Flash
Malo Korrigan,1,26,France,1999,1999,"Canal J, M6",Traditional
Mama K's Team 4,TBA,TBA,United States,2022,2022,Netflix,CGI
Mama Mirabelle's Home Movies,,26,"Britain, United States",2007,2008,CBeebies,Flash
Mao Mao: Heroes of Pure Heart,,40,United States,2019,Present,Cartoon Network,Flash
Marcelino Pan y Vino,3,78,"France, Japan, Spain, Mexico, Italy",2001,2005,TF1,Traditional
Marcus Level,1,52,France,2014,2017,"Boomerang, Clan",Flash
Mario All-Stars,1,40,US,1994,1994,The Family Channel,Traditional
Marsupilami,1,13,"US, UK, Australia",1993,1993,CBS,Traditional
Martha Speaks,6,96,"Canada, United States",2008,2014,PBS Kids,Flash
Martin Morning,,156,France,2003,2018,France 3,Traditional
Martin Mystery,3,66,"Canada, France, Italy",2003,2006,YTV,Traditional
Marvel Action Universe,1,12,US,1988,1988,Syndication,Traditional
Marvin the Tap-Dancing Horse,2,26,"Canada, China",2000,2002,"Teletoon, PBS Kids",Flash
Mary Shelley's Frankenhole,2,20,United States,2010,2012,Adult Swim,Stop motion
Mary-Kate and Ashley in Action!,1,26,United States,2001,2002,ABC,Traditional
Maryoku Yummy,1,26,United States,2010,2010,The Hub,Flash
Masha and the Bear,,88,Russia,2009,Present,Carousel,CGI
Massive Monster Mayhem,,10,Canada,2017,2018,Nicktoons,CGI/Live-action
Master Raindrop,,26,"Australia, New Zealand, Singapore",2008,2008,Seven Network,CGI
Masters of the Universe: Revelation,2,10,United States,2021,2021,Netflix,Traditional
Matt Hatter Chronicles,4,52,"Britain, Canada",2011,2015,Teletoon,CGI
Max & Ruby,7,130,Canada,2002,2019,Treehouse TV,Flash
Max Steel,3,35,"Canada, United States",2000,2002,Kids' WB,CGI
Max Steel,2,52,"Canada, United States",2013,2016,"Disney XD, Netflix, Cartoon Network",CGI
Maxie's World,1,32,US,1987,1987,Syndication,Traditional
Maya & Miguel,,65,United States,2004,2007,PBS Kids Go!,Traditional
Maya and the Three,1,9,United States,2021,2021,Netflix,CGI
Maya the Bee,,78,"France, Germany",2012,2017,ZDF,CGI
McGee and Me!,1,12,US,1989,1995,ABC,Traditional
Mecha Builders,1,10,United States,2022,Present,Cartoonito / HBO Max,CGI
Mechanick,,45,"United Kingdom, Canada, Australia",2003,2004,"CITV (2003), Channel 5 (2004)",Stop-motion
Meeow!,2,26,Scotland,2000,2002,CITV,Traditional
Meet the Moores,6,94,"Ireland, United States",2011,2015,Discovery Kids,Flash
Mega Babies,2,38,"Canada, US",1999,2001,"Teletoon, Fox Family",Traditional
Mega Man: Fully Charged,1,52,"Canada, Japan, United States",2018,2019,"Family Chrgd, Cartoon Network",CGI
Megas XLR,,26,United States,2004,2005,Cartoon Network,Traditional
Men in Black: The Series,4,53,US,1997,2001,Kids' WB,Traditional
Merlin the Magical Puppy,2,26,Britain,2001,2001,CITV,CGI
Merrie Melodies Starring Bugs Bunny & Friends,1,65,US,1990,1994,"Syndication, Kids' WB",Traditional
Messy Goes to Okido,2,78,United Kingdom,2015,2019,CBeebies,CGI
Meta Runner,,10,Australia,2019,Present,YouTube,CGI
Metalocalypse,,61,United States,2006,2013,Adult Swim,Flash
MeteoHeroes,1,52,Italy,2020,Present,"Cartoonito, Boomerang",Flash
Mia and Me,4,104,Germany,2012,Present,"ZDF, Nick Jr.","CGI, Live-action"
Mia's Magic Playground,1,24,British,2020,Present,Viaplay,CGI
Mickey Mouse,5,94,United States,2013,2019,Disney Channel,Flash
Mickey Mouse Clubhouse,,125,United States,2006,2016,"Disney Channel, Disney Junior",CGI
Mickey Mouse Funhouse,1,22,United States,2021,Present,Disney Junior,CGI
Mickey Mouse Mixed-Up Adventures,,65,United States,2017,2021,Disney Junior,CGI
Mickey Mouse Works,2,25,US,1999,2000,ABC,Traditional
Mickey's Mouse Tracks,1,78,US,1992,1995,Disney Channel,Traditional
Microscopic Milton,1,26,UK,1997,1997,Disney Channel,Traditional
Middle School Moguls,,4,United States,2019,2019,Nickelodeon,CGI
Middlemost Post,1,20,United States,2021,Present,Nickelodeon,Traditional
Midnight Patrol: Adventures in the Dream Zone,1,13,"UK, US",1990,1990,Syndication,Traditional
Miffy and Friends,,39,Netherlands,2003,2007,"KRO, Noggin",Stop motion
Miffy's Adventures Big and Small,3,78,"Netherlands, United Kingdom",2015,2017,"KRO (Netherlands), Tiny Pop (United Kingdom)",CGI
Mighty Ducks,1,26,US,1996,1997,ABC,Traditional
Mighty Express,7,38,United States,2020,Present,Netflix,CGI
Mighty Magiswords,,92,United States,2016,2019,Cartoon Network,Flash
Mighty Max,2,40,US,1993,1994,Syndication,Traditional
Mighty Mouse: The New Adventures,2,19,US,1987,1988,"CBS, Fox Kids",Traditional
Mika's Diary,1,52,Brazil,2015,2015,"Disney Channel, Disney Junior",Flash
Mike Judge Presents: Tales from the Tour Bus,,21,United States,2017,2018,Cinemax,Traditional
Mike the Knight,3,104,"Canada, United Kingdom",2011,2017,"Treehouse TV (Canada), CBeebies (United Kingdom), Discovery Kids (Latin American)",CGI
Mike Tyson Mysteries,4,70,United States,2014,2020,Adult Swim,Traditional
"Mike, Lu & Og",2,26,"Russia, US",1999,2001,Cartoon Network,Traditional
Miles from Tomorrowland,3,75,United States,2015,2018,Disney Junior,CGI
Milo,TBA,TBA,United Kingdom,2021,2021,Milkshake!,Flash
Milo Murphy's Law,,26,United States,2016,2019,Disney XD,Traditional
Mimi and Mr. Bobo,2,33,Spain,1999,2003,La 1,Traditional
Mini Beat Power Rockers,4,200,Argentina,2017,Present,Discovery Kids,CGI
Minnie's Bow-Toons,,40,United States,2011,2016,Disney Junior,CGI
Minnie's Bow-Toons,,40,United States,2021,Present,Disney Junior,CGI
Minoriteam,,19,United States,2006,2006,Adult Swim,Flash
"Mira, Royal Detective",2,54,"United States, Canada",2020,2022,Disney Junior,CGI
Miraculous: Tales of Ladybug & Cat Noir,4,104,France,2015,Present,"TF1 (France), EBS 1 (South Korea), Disney Channel",CGI
Mirette Investigates,,52,"France, Spain",2016,2017,TFI,Traditional
Mischief City,1,26,Canada,2005,2005,YTV,Flash
Miss BG,,52,"Canada, France",2005,2008,TVOKids,CGI
Miss Moon,,52,France,2016,Present,"TFOU TV, Discovery Kids",Flash
Miss Spider's Sunny Patch Friends,,44,"Britain, Canada, United States",2004,2008,Teletoon,CGI
Mission Hill,1,13,US,1999,2000,"The WB, Adult Swim",Traditional
Mixels,,31,United States,2014,2016,Cartoon Network,Toom Boon/Traditional/Flash
Mofy,3,,"United Kingdom, Japan, Italy, Germany",2013,Present,"NHK (Japan), Rai Yoyo (Italy), KiKA (Germany), EBS (South Korea), Milkshake! (United Kingdom)",Stop-motion
Molang,5,313,"France, South Korea, United Kingdom",2015,Present,"Piwi+, Canal+ Family, TF1",Flash
Mole Sisters,,,Canada,2003,2003,Treehouse TV,Traditional
Molly of Denali,1,31,"Canada, United States",2019,Present,PBS Kids,Flash
Molly's Gang,1,26,UK,1994,1995,CITV,Stop-Motion
Momma Named Me Sheriff,2,19,United States,2019,2021,Adult Swim,Flash
Mona the Vampire,4,65,"Canada, France",1999,2006,YTV,Traditional
Mondo Yan,1,52,"Spain, Ireland",2020,Present,TV3,CGI
Mongo Wrestling Alliance,1,10,United States,2011,2011,Adult Swim,Flash/CGI
Monk Little Dog,,52,"France, South Korea",2009,2010,Canal+ and EBS,CGI
Monkey Dust,,18,Britain,2003,2005,,Traditional
Monster Allergy,,52,"France, Germany, Italy",2005,2009,"Toon Disney Rai 2 (Italy), Antena 3 (Spain)",Traditional
Monster Buster Club,,52,"Canada, France",2008,2009,YTV,CGI
Monster by Mistake,3,52,Canada,1996,2006,"YTV, Discovery Kids",CGI
Monster Farm,1,13,US,1998,1999,Fox Family,Traditional
Monster Force,1,13,"US, Canada",1994,1994,Syndication,Traditional
Monster High,TBA,TBA,United States,2022,2022,Nickelodeon,CGI
Monster in My Pocket,TBA,TBA,France,2022,2022,M6,CGI
Monster Math Squad,,132,Canada,2012,2016,CBC Television,CGI
Monster Tails,1,50,US,1990,1991,Syndication,Traditional
Monsters At Work,1,10,United States,2021,Present,Disney+,CGI
Monsters vs. Aliens,1,26,United States,2013,2014,Nickelodeon,CGI
Moominvalley,2,26,"Britain, Finland",2019,Present,"YLE, Sky One",CGI
Moonbeam City,1,10,"United States, Canada",2015,2015,Comedy Central,Flash
Moral Orel,,44,United States,2005,2009,Adult Swim,Stop motion
Mortal Kombat: Defenders of the Realm,1,13,US,1996,1996,USA Network,Traditional
Mot,1,26,France,1996,1996,ABC Television,Traditional
Mother Goose and Grimm,2,13,US,1991,1992,CBS,Traditional
Mother Up!,1,13,Canada,2013,2014,"Hulu, City",Flash
Motorcity,,20,United States,2012,2013,Disney XD,Flash
Motu Patlu,,262,India,2012,Present,Nickelodeon India,CGI
Mouk,1,52,France,2011,2011,"France 5, Disney Junior",Flash
Moville Mysteries,1,26,Canada,2002,2003,YTV,Traditional
Mr. Baby,,48,France,2009,2010,France 3,Flash
Mr. Bean: The Animated Series,5,130,Britain,2002,2019,"ITV, CITV","Traditional (first 3 seasons, later seasons use Flash)"
Mr. Bogus,3,43,US,1991,1993,"Channel 4, The Children's Channel",Traditional
Mr. Magoo,,78[22],"France, United States",2019,Present,France 3,Flash
Mr. Meaty,,20,"Canada, United States",2005,2009,"CBC Television, Nickelodeon",Live-Action
Mr. Men and Little Miss,3,107,UK,1995,1997,CITV,Traditional
"Mr. Monkey, Monkey Mechanic",,12,Canada,2017,Present,YouTube,Flash
Mr. Pickles,4,32,United States,2014,2019,Adult Swim,Flash
Mudpit,2,25,Canada,2011,2013,Teletoon,CGI
Mumble Bumble,1,65,"Canada, Denmark",1999,1999,CBC Television,Traditional
Mummies Alive!,1,42,US,1997,1997,ABC,Traditional
Munchies,,,United States,2005,2006,Fuse,Traditional
Mundo Ripilica,,26,Brazil,2017,2017,Discovery Kids,CGI
Muppet Babies,3,62,United States,2018,2022,Disney Junior,CGI
Mush-Mush and the Mushables,1,TBA,"United States, France",2021,Present,Cartoonito,CGI
Music Up,1,52,China,2001,2001,CCTV,Traditional
Mutant League,2,40,US,1994,1996,,Traditional
My Big Big Friend,2,52,"Brazil, Canada",2010,2013,"Discovery Kids, Treehouse TV",Flash
My Brother the Monster,TBA,TBA,Canada,2022,2022,Teletoon,Traditional
My Dad the Rock Star,,26,"Canada, France",2003,2005,Teletoon,Traditional
My Friend Rabbit,,26,Canada,2007,2008,Treehouse TV,Flash
My Friends Tigger & Pooh,,66,United States,2007,2010,"Playhouse Disney, Disney Junior",CGI
My Goldfish Is Evil,,26,Canada,2006,2008,CBC Television,Traditional
My Gym Partner's a Monkey,4,100,United States,2005,2008,"Cartoon Network, Tooncast",Traditional
My Knight and Me,,52,"Belgium, France",2016,2017,"RTBF, TéléTOON+, Cartoon Network, Boomerang",CGI
My Life as a Teenage Robot,,40,United States,2003,2009,"Nickelodeon, Nicktoons Network",Traditional
My Life Me,2,52,"Canada, France",2010,2011,Teletoon,Flash
My Little Pony (2003),,,United States,2003,2009,Direct-to-Video,Traditional
My Little Pony Tales,1,26,US,1992,1992,The Disney Channel,Traditional
My Little Pony: Equestria Girls,,3,"Canada, United States",2017,2017,Discovery Family,Flash
My Little Pony: Friendship Is Magic,9,222,"Canada, United States",2010,2019,"Discovery Family, Discovery Kids, Cartoonito",Flash
My Little Pony: Make Your Mark,1,8,United States,2022,Present,Netflix,CGI
My Little Pony: Pony Life,1,52,"United States, Ireland",2020,Present,Discovery Family,Flash
My Little Pony: Tell Your Tale,1,27,United States,2022,Present,YouTube,Flash
My Magic Pet Morphle,2,175,"United States, United Kingdom",2011,Present,YouTube,"Flash (2011-2022), Traditional (2021), CGI (2022-present)"
My Pet Monster,1,13,Canada,1987,1987,ABC,Traditional
Mysticons,,40,"Canada, United States",2017,2018,"Nickelodeon, YTV, Nicktoons",Toon Boom Harmony
Mythic Warriors,2,26,Canada,1998,2000,CBS,Traditional
Nanook,1,26,"Canada, France",1996,1996,Teletoon,Traditional
Napoleon Dynamite,,6,United States,2012,2012,Fox,Traditional
NASCAR Racers,2,26,"Canada, US",1999,2001,Fox Kids,Traditional
Nature Cat,3,76,"Canada, United States",2015,2021,"PBS Kids (United States), Discovery Kids (Latin American)",Flash
Ned's Newt,3,39,"Canada, Germany",1997,1999,Teletoon,Traditional
Neighbors from Hell,1,10,United States,2010,2010,TBS,Flash
Nella the Princess Knight,2,52,"Ireland, Britain, United States",2017,2021,Nick Jr.,Flash/Toon Boom
Nellie the Elephant,2,30,UK,1990,1991,ITV,Traditional
Nelly & Nora,,52,Ireland,2015,2020,RTÉjr,Flash
Nerds and Monsters,2,40,Canada,2014,2016,YTV,Flash
New Dalton,10,172,United States,2010,Present,Dailymotion (Season 1-10)/Newgrounds (Season 10),Flash (Season 1-10)/CGI (Season 10)
New Kids on the Block,1,15,US,1990,1991,ABC,Traditional
New Looney Tunes,3,156,United States,2015,2020,"Cartoon Network, Boomerang, Boomerang VOD (all USA only)",Flash/Traditional
Newbie and the Disasternauts,3,39,Brazil,2011,2012,TV Rá-Tim-Bum,Flash
NFL Rush Zone,3,65,United States,2010,2014,Nicktoons,Traditional
"Ni Hao, Kai-Lan",,40,United States,2008,2011,Nick Jr.,Traditional
Nick & Perry,2,52,"France, Germany",2000,2001,"M6, Cartoon Network",Traditional
Nicktoons Film Festival,,114,United States,2004,2009,Nicktoons Network,Traditional
Nico,1,19,Spain,2001,2001,Televisión Española,Traditional
Night Hood,1,26,"Canada, France",1996,1997,"TF1, Canal+, YTV",Traditional
Night Sweats,1,26,Canada,2015,2015,Adult Swim,Traditional
Nightmare Ned,1,12,US,1997,1997,ABC,Traditional
Niko and the Sword of Light,,23,United States,2017,2019,Amazon Video,Flash
Niloya,6,156,Turkey,2014,2020,TRT Çocuk,CGI
Nilus the Sandman,2,26,Canada,1996,1998,Family Channel,"Traditional, Live-Action"
Nina and the Guardians,,26,Brazil,2019,Present,Nat Geo Kids (Latin America),Flash
Nina Sahabatku,,26,Indonesia,2013,2013,Dreamtoon,CGI
Nina's World,2,52,"Canada, United States",2015,2018,Universal Kids,Flash
Ninjago (TV series),15,180,"Denmark, Canada",2011,Present,Cartoon Network,CGI
Ninjin,,22,Brazil,2019,Present,Cartoon Network (Brazil),Flash
Noah's Island,3,39,UK,1997,1999,BBC1,Traditional
Noddy,2,66,"Canada, UK",1998,2000,TVOKids,"Stop-Motion, Live-Action"
"Noddy, Toyland Detective",,52,"France, United States",2016,2020,France 5,CGI
Noddy's Toyland Adventures,4,53,UK,1992,2001,BBC One and BBC Two,Stop-motion
Noonbory and the Super Seven,,26,"Canada, South Korea",2009,2009,CBS,CGI
Norman Picklestripes,,52[25],"Britain, Canada, United States",2019,2021,Universal Kids,Stop-motion
Numb Chucks,2,52,Canada,2014,2016,"YTV, Nickelodeon, Teletoon, Disney XD (Poland), Disney Channel (China), Neox Kdz (Spain)",Flash
Numberblocks,,120,British,2017,2021,CBeebies,CGI
Numberjacks,,67,Britain,2006,2009,"BBC Two, CBeebies",CGI
Nutri Ventures,,100,Portugal,2012,2014,RTP 2,Traditional
O'Grady,,19,United States,2004,2006,The N,Flash
Oakie Doke,2,28,UK,1995,1996,"BBC One, BBC Two, CBeebies",Traditional
Object Mayhem,3,21,Ireland,2012,Present,YouTube,Flash
Object Overload,,7,United Kingdom,2013,Present,YouTube,Flash
Octonauts: Above & Beyond,2,26,"United Kingdom, Canada",2021,Present,Netflix,CGI
Odd Job Jack,,52,Canada,2003,2007,The Comedy Network,Flash
Oddballs,TBA,TBA,United States,2022,2022,Netflix,Traditional
Oddbods (2012),1,,United States,2012,2014,Boomerang,CGI
Odo,1,14,United States,2021,Present,HBO Max,Flash
Off the Air,12,43,United States,2011,Present,Adult Swim,"Traditional, Flash, CGI, Live-action, Stop motion"
Oggy and the Cockroaches,7,501,France,1998,2003,France 3,Traditional
Oggy and the Cockroaches,7,501,France,2008,2012,France 3,Traditional
Oggy and the Cockroaches,7,501,France,2017,2019,France 3,Traditional
Oggy and the Cockroaches: Next Generation,1,13,France,2022,Present,Netflix,Flash
Oggy Oggy,1,16,France,2021,Present,Netflix,CGI
Oh No! It's an Alien Invasion,2,40,Canada,2013,2015,YTV,CGI
Oh Noah!,1,15,Canada,2011,2013,PBS Kids,Flash
Oh Yeah! Cartoons,3,32,US,1998,2001,Nickelodeon,"Traditional, CGI"
OK K.O.! Let's Be Heroes,,112,United States,2017,2019,Cartoon Network,Traditional
Old Bear Stories,3,41,UK,1993,1997,"ITV Network, Channel 5",Traditional
Olivia,,40,"Britain, United States",2009,2015,Nickelodeon,CGI
Ollie,,,Ireland,2019,Present,RTEjr,
Ollie! The Boy Who Became What He Ate,,26,Canada,2017,2019,CBC Kids,Flash
Ollie's Pack,1,20,Canada,2020,2021,Nickelodeon,Traditional
Olliver's Adventures,3,39,Canada,2002,2002,Teletoon,Flash
Olobob Top,,26,British,2017,2019,CBeebies,Flash
Om Nom Stories,19,181,"United Kingdom, Russia",2011,Present,YouTube,"Flash, Live-Action (seasons 1–2)"
Once Upon a Time... Life,1,26,France,1987,1987,Canal+,Traditional
Once Upon a Time... The Americas,1,26,France,1991,1991,Canal+,Traditional
Once Upon a Time... The Discoverers,1,26,France,1994,1994,"France 3, Canal+",Traditional
Once Upon a Time... The Explorers,1,26,France,1996,1996,"France 3, Canal+",Traditional
Oni: Thunder God's Tale,1,4,United States,2022,2022,Netflix,CGI/Stop-Motion
Onyx Equinox,1,12,United States,2020,2020,Crunchyroll,Traditional
Oops! I-Kooo,,,South Korea,2011,2011,EBS,CGI
Oppa Keki,4,TBA,Brazil,2016,Present,,Flash
Origanimals,,52,Malaysia,2016,Present,ZooMoo Network,CGI
Orson and Olivia,1,26,France,1993,1993,TF1,Traditional
Os Under-Undergrounds,,26,Brazil,2016,2017,Nickelodeon Brazil,Flash
Oscar's Orchestra,3,39,"UK, France",1994,1996,BBC,Traditional
Osmar: The Heel of the Loaf,2,52,Brazil,2013,2015,Gloob,Flash
Oswald,1,24,"Britain, United States",2001,2003,Nickelodeon,Traditional
Oswaldo,2,26,Brazil,2017,Present,"Cartoon Network Brazil, TV Cultura",Flash
Ouk an lavois para tou mi ehontos,,13,Greece,2010,2011,Mega Channel,Traditional
Our Cartoon President,3,46,United States,2018,2020,Showtime,Flash
Out of Jimmy's Head,1,20,United States,2007,2008,Cartoon Network,Flash/Live-Action
Out There,1,10,United States,2013,2013,IFC,Flash
Over the Garden Wall,,10,United States,2014,2014,Cartoon Network,Traditional
Ovide and the Gang,1,65,Canada,1987,1988,CBBC,Traditional
OVNI,2,104,France,2008,2011,Canal+ Family,Flash
Ozzy & Drix,2,26,United States,2002,2004,Kids' WB,Traditional
P. King Duckling,2,78,"China, United States",2016,2017,"Disney Junior, Mango TV",Flash
Paap-O-Meter,,,India,2017,Present,Sony YAY!,Flash
Pablo,2,105,United Kingdom,2017,Present,"Cbeebies, RTÉjr",CGI
Pablo the Little Red Fox,1,52,UK,1999,1999,"CBBC, CBeebies",Traditional
Pac-Man and the Ghostly Adventures,3,52,"Canada, Japan, United States",2013,2015,"Disney XD (U.S./Canada), Discovey Kids (Latin America), Tokyo MXTV (Japan)",CGI
Pacific Heat,,26,Australia,2016,2017,The Comedy Channel,Traditional
Packages from Planet X,1,52,"Canada, United States",2013,2014,"Disney XD, Teletoon",Flash
Paddington Bear,1,13,"US, UK",1989,1990,Syndication,Traditional
Pakdam Pakdai,6,535,India,2013,Present,Nickelodeon,Flash
Pantheon,1,8,United States,2022,Present,AMC+,Traditional
Papa Beaver's Storytime,4,156,"Canada, France",1993,1994,"Family Channel, France 3",Traditional
Papawa,,104,Spain,2008,2008,TVC,Flash
Paper Port,,52,"Brazil, Chile",2016,Present,"Gloob, TVN",Stop motion
Papyrus,2,52,"Belgium, Canada, France",1998,1998,TF1,Traditional
Paradise PD,,30,United States,2018,Present,Netflix,Flash/Traditional
Party Legends,,14,United States,2016,2017,Viceland,Traditional/Live-action
Pat & Stan,,362,France,2004,2009,,CGI
Pat the Dog,,78,"Belgium, France, Italy",2017,Present,"La Trois, Discovery Kids",CGI
Patrol 03,1,26,France,1997,1997,"Teletoon, France 3",Traditional
PAW Patrol,7,182,"Canada, United States",2013,Present,Nick Jr.,CGI
PB Bear and Friends,1,30,UK,1998,1998,Milkshake!,Stop-Motion
PB&J Otter,3,65,US,1998,2000,Playhouse Disney,Traditional
Peanuts,,37,"France, Italy, United States",2014,2016,"France 3, Boomerang",Flash
Pearlie,,26,"Australia, Canada",2009,2011,"Network Ten, YTV",Flash
Pecola,1,26,"Canada, Japan",2001,2002,Teletoon,CGI
Pedro and Frankensheep,,10,Britain,2008,2008,CBBC,Flash
Peep and the Big Wide World,,104,"Canada, United States",2004,2011,"Discovery Kids, PBS Kids",Flash
Peepoodo & The Super Fuck Friends,2,26,French,2019,Present,Bobbypills,Flash
Peg + Cat,2,63,"Canada, United States",2013,2018,"Treehouse TV, PBS Kids, Discovery Kids",Flash
Pelswick,2,26,"Canada, China",2000,2002,Nickelodeon,Traditional
Pencilmation,26,542,United States,2004,Present,"Newgrounds, YouTube",Traditional/Flash
Penn Zero: Part-Time Hero,,35,United States,2014,2017,Disney XD,Flash
Penny Crayon,1,12,UK,1989,1990,"BBC Kids, BBC1, BFBS, YTV, SSVC Television, TV2",Traditional
Peppa Pig,7,329,Britain,2004,2012,"Channel 5, Clan, Cartoon Network, Discovery Kids, Nick Jr, YouTube",Flash
Peppa Pig,7,329,Britain,2015,Present,"Channel 5, Clan, Cartoon Network, Discovery Kids, Nick Jr, YouTube",Flash
Pepper Ann,5,65,US,1997,2000,ABC,Traditional
Perfect Hair Forever,,8,United States,2004,2007,Adult Swim,Flash
Perfect Hair Forever,,8,United States,2014,2014,Adult Swim,Flash
Pet Alien,,52,United States,2005,2005,Cartoon Network,CGI
Pet Squad,1,26,"Britain,Canada",2011,2011,CBBC,Flash
Petals,2,55,Australia,1998,1999,ABC,Traditional
Peter Pan and the Pirates,1,65,US,1990,1991,Fox Kids,Traditional
Peter Rabbit,,78,"Ireland, Britain",2012,2016,"CBeebies, Nick Jr",CGI
Petit Petit Muse,,26,South Korea,2008,2008,KBS1,Traditional
Phantom 2040,1,35,"US, France",1994,1996,Syndication,Traditional
Phantom Investigators,1,13,United States,2002,2002,Kids' WB,Stop motion
Philbert Frog,1,13,UK,1993,1994,"CBBC, TCC",Traditional
Phineas and Ferb,4,222,United States,2007,2015,Disney Channel,Traditional
Pickle and Peanut,2,42,United States,2015,2018,Disney XD,Flash
Picnic with Cake,,,France,2013,2013,,CGI
Pig City,1,39,"Canada, France",2002,2002,Teletoon,Traditional
Pig Goat Banana Cricket,2,40,United States,2015,2018,"Nickelodeon (2015–16), Nicktoons (2016–18)",Flash
Pigeon Boy,1,26,France,2002,2002,Pop UK,Traditional
Piggsburg Pigs!,1,13,"Canada, US",1990,1990,Fox Kids,Traditional
Pikwik Pack,1,29,United States,2020,Present,Disney Junior,Flash
Pimpa – Le Nuove Avventure,1,26,Italy,1997,1997,"Raisat Ragazzi, Rai 3, Rai Yoyo",Traditional
Pinecone & Pony,1,8,United States,2022,2022,Apple TV+,Flash
Ping and Friends,1,52,Canada Brazil,2018,2019,TVOKids,Flash
Pingu,6,156,"Switzerland, UK",1990,2000,"Schweizer Fernsehen, Cbeebies",Stop-Motion
Pingu,6,156,"Switzerland, UK",2003,2006,"Schweizer Fernsehen, Cbeebies",Stop-Motion
Pink Panther and Pals,1,26,United States,2010,2010,Cartoon Network,Traditional/Toon Boom
Pinkalicious & Peterrific,3,54,United States,2018,Present,"PBS Kids (United States), SIC K (Portugal), Pop (Slovenian)",Flash
Pinkfong Wonderstar,3,44,South Korea,2019,Present,KBS,CGI
Pinky and the Brain,4,66,US,1995,1998,Kids' WB,Traditional
Pinky Dinky Doo,,104,"Canada, United States",2006,2011,Noggin,Flash
Pinky Malinky,3,60,United States,2019,2021,Netflix,Flash
"Pinky, Elmyra & the Brain",1,13,US,1998,1999,The Wb,Traditional
Pinocchio,8,,United States,2015,Present,Disney XD,Traditional
Pinocchio and Friends,TBA,TBA,Italy,2021,2021,Netflix,CGI
Pip Ahoy!,,52,Britain,2014,2018,Channel 5,Flash
Pip and Posy,TBA,TBA,United Kingdom,2021,2021,Milkshake!,CGI
"Pipi, Pupu and Rosemary",,52,Italy,2009,2009,Rai Yoyo,Flash
"Pipo, my Imaginary Friend",3,36,Colombia,2013,Present,Señal Colombia,Traditional
Pippi Longstocking,2,26,"Canada, Germany",1997,1997,Teletoon,Traditional
Pirate Express,1,26,"Canada, Australia",2015,2015,"Teletoon (Canada), 9Go! (Australia)",Flash
